"filename", "language", "Log", "LaTeX", "Python", "Java", "Batch", "PowerShell", "Markdown", "Properties", "XSL", "XML", "comment", "blank", "total"
"d:\Github\_java\Java-stuff\1\N-Dimension\.output\ellipsoids\nEllipData.log", "Log", 425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 454
"d:\Github\_java\Java-stuff\1\N-Dimension\.output\ellipsoids\nEllipData.tex", "LaTeX", 0, 3464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3476
"d:\Github\_java\Java-stuff\1\N-Dimension\.output\ellipsoids\texput.log", "Log", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Github\_java\Java-stuff\1\N-Dimension\.output\platonic_solids\ncube\ncubeData.log", "Log", 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 556
"d:\Github\_java\Java-stuff\1\N-Dimension\.output\platonic_solids\ncube\ncubeData.tex", "LaTeX", 0, 2876, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 2896
"d:\Github\_java\Java-stuff\1\N-Dimension\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 9, 19
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\App.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\funcs\filesys\FolderCreate.class", "Java", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\funcs\filesys\tex\TexFileTemp.class", "Java", 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 1, 203
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\funcs\filesys\tex\nd\TexCommandsNcube.class", "Java", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 44
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\funcs\filesys\tex\nd\TexCommandsNellip.class", "Java", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 45
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\funcs\filesys\tex\nd\TexCommandsNsphere.class", "Java", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 35
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\funcs\math\MathFuncs.class", "Java", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 27
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\solids\ellipsoids\NsphereEllOut.class", "Java", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 136
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\solids\ellipsoids\nellipsoid\NellipsoidAlgs.class", "Java", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\solids\ellipsoids\nspehre\NsphereAlgs.class", "Java", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 33
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\solids\platonic_solids\NcubeOut.class", "Java", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\solids\platonic_solids\ncube\NcubeAlgs.class", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"d:\Github\_java\Java-stuff\1\N-Dimension\bin\solids\platonic_solids\ncube\NcubeGraphAlgs.class", "Java", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 53
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 19, 32, 129
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\isympy.py", "Python", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 174, 31, 343
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\__init__.py", "Python", 0, 0, 412, 0, 0, 0, 0, 0, 0, 0, 12, 39, 463
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\calculus\__init__.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\calculus\approximation.py", "Python", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 161, 9, 247
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\calculus\calculus.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\calculus\differentiation.py", "Python", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 379, 19, 648
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\calculus\extrapolation.py", "Python", 0, 0, 637, 0, 0, 0, 0, 0, 0, 0, 1383, 96, 2116
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\calculus\inverselaplace.py", "Python", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 543, 93, 829
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\calculus\odes.py", "Python", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 185, 6, 289
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\calculus\optimization.py", "Python", 0, 0, 527, 0, 0, 0, 0, 0, 0, 0, 517, 59, 1103
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\calculus\polynomials.py", "Python", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 134, 5, 214
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\calculus\quadrature.py", "Python", 0, 0, 298, 0, 0, 0, 0, 0, 0, 0, 678, 36, 1012
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\ctx_base.py", "Python", 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 155, 39, 495
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\ctx_fp.py", "Python", 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 7, 46, 254
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\ctx_iv.py", "Python", 0, 0, 455, 0, 0, 0, 0, 0, 0, 0, 12, 85, 552
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\ctx_mp.py", "Python", 0, 0, 692, 0, 0, 0, 0, 0, 0, 0, 564, 84, 1340
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\ctx_mp_python.py", "Python", 0, 0, 787, 0, 0, 0, 0, 0, 0, 0, 251, 110, 1148
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\function_docs.py", "Python", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 9672, 197, 10053
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\__init__.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\bessel.py", "Python", 0, 0, 777, 0, 0, 0, 0, 0, 0, 0, 284, 48, 1109
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\elliptic.py", "Python", 0, 0, 508, 0, 0, 0, 0, 0, 0, 0, 903, 25, 1436
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\expintegrals.py", "Python", 0, 0, 375, 0, 0, 0, 0, 0, 0, 0, 23, 28, 426
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\factorials.py", "Python", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 38, 11, 188
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\functions.py", "Python", 0, 0, 502, 0, 0, 0, 0, 0, 0, 0, 84, 60, 646
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\hypergeometric.py", "Python", 0, 0, 979, 0, 0, 0, 0, 0, 0, 0, 357, 78, 1414
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\orthogonal.py", "Python", 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 213, 18, 494
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\qfunctions.py", "Python", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 172, 5, 281
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\rszeta.py", "Python", 0, 0, 915, 0, 0, 0, 0, 0, 0, 0, 385, 104, 1404
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\theta.py", "Python", 0, 0, 964, 0, 0, 0, 0, 0, 0, 0, 68, 18, 1050
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\zeta.py", "Python", 0, 0, 888, 0, 0, 0, 0, 0, 0, 0, 223, 44, 1155
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\zetazeros.py", "Python", 0, 0, 792, 0, 0, 0, 0, 0, 0, 0, 197, 30, 1019
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\identification.py", "Python", 0, 0, 333, 0, 0, 0, 0, 0, 0, 0, 474, 38, 845
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\__init__.py", "Python", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 8, 78
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\backend.py", "Python", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 18, 14, 116
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\gammazeta.py", "Python", 0, 0, 1452, 0, 0, 0, 0, 0, 0, 0, 561, 154, 2167
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libelefun.py", "Python", 0, 0, 1006, 0, 0, 0, 0, 0, 0, 0, 330, 93, 1429
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libhyper.py", "Python", 0, 0, 887, 0, 0, 0, 0, 0, 0, 0, 169, 95, 1151
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libintmath.py", "Python", 0, 0, 358, 0, 0, 0, 0, 0, 0, 0, 176, 51, 585
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libmpc.py", "Python", 0, 0, 630, 0, 0, 0, 0, 0, 0, 0, 134, 72, 836
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libmpf.py", "Python", 0, 0, 993, 0, 0, 0, 0, 0, 0, 0, 283, 139, 1415
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libmpi.py", "Python", 0, 0, 704, 0, 0, 0, 0, 0, 0, 0, 156, 76, 936
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\math2.py", "Python", 0, 0, 577, 0, 0, 0, 0, 0, 0, 0, 36, 60, 673
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\__init__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\calculus.py", "Python", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 346, 11, 532
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\eigen.py", "Python", 0, 0, 361, 0, 0, 0, 0, 0, 0, 0, 349, 168, 878
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\eigen_symmetric.py", "Python", 0, 0, 840, 0, 0, 0, 0, 0, 0, 0, 746, 222, 1808
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\linalg.py", "Python", 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 375, 53, 793
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\matrices.py", "Python", 0, 0, 440, 0, 0, 0, 0, 0, 0, 0, 495, 67, 1002
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\rational.py", "Python", 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 11, 32, 241
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\extratest_gamma.py", "Python", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 2, 12, 216
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\extratest_zeta.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\runtests.py", "Python", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 31, 11, 151
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_basic_ops.py", "Python", 0, 0, 414, 0, 0, 0, 0, 0, 0, 0, 8, 24, 446
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_bitwise.py", "Python", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 6, 15, 189
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_calculus.py", "Python", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 3, 15, 213
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_compatibility.py", "Python", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 10, 9, 78
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_convert.py", "Python", 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 11, 16, 224
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_diff.py", "Python", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 5, 62
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_division.py", "Python", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 12, 28, 144
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_eigen.py", "Python", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 4, 46, 180
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_eigen_symmetric.py", "Python", 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 9, 95, 358
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_elliptic.py", "Python", 0, 0, 452, 0, 0, 0, 0, 0, 0, 0, 131, 86, 669
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_fp.py", "Python", 0, 0, 1634, 0, 0, 0, 0, 0, 0, 0, 23, 15, 1672
